신규 분류 총 147명 (MMR 높은 순)

이름        종족  MMR    티어  전적          승률
예실         P    1218    7     247승104패   70%
유복실        P    1090    7      68승156패   30%
나도현        T    1022    7       32승27패   54%
내가먼지       T    1015    7     497승312패   61%
상어녀        Z     988    8       37승70패   35%
정서린        P     956    8     340승210패   62%
임조이        Z     939    8     671승595패   53%
2라니        Z     920    8     501승484패   51%
연둥바둥       P     910    8       57승88패   39%
엄보리        P     905    7     561승402패   58%
메옹         T     899    Y     284승241패   54%
핑핑         Z     878    8     307승251패   55%
김설         Z     874    8     330승295패   53%
비타밍        T     848    8     543승650패   46%
막내현진       P     830    Y     465승341패   58%
아리송이       P     818    Y     210승137패   61%
으냉이        T     803    8     246승202패   55%
면추가        Z     798    Y     248승139패   64%
퀸주         Z     795    Y     290승154패   65%
오리꿍        Z     790    Y     356승361패   50%
이영호        T     765    Y       61승28패   69%
은서         P     748    8     460승418패   52%
수니양        T     743    Y     398승409패   49%
이영웅        T     743    Y       72승53패   58%
키모야        T     741    Y     281승243패   54%
효짱         P     737    Y     487승529패   48%
이제동        Z     736    Y     688승586패   54%
또해영        Z     736    Y     325승340패   49%
냥수디        Z     731    Y     248승196패   56%
갱이다        T     730    Y     269승153패   64%
다예나        P     728    Y     178승129패   58%
김정우        Z     727    Y     444승379패   54%
경콩         T     716    Y     335승245패   58%
사사삼        P     709    Y     249승309패   45%
제갈츄빈       T     698    Y     297승227패   57%
밤하밍        T     692    Y     197승163패   55%
김택용        P     692    Y     135승112패   55%
밍또얌        T     687    Y     223승233패   49%
송병구        P     686    Y     469승471패   50%
밥새         T     682    Y     450승378패   54%
정경두        P     678    Y     194승144패   57%
냥냥코기       Z     671    Y     273승233패   54%
다라츄        Z     670    Y     263승268패   50%
김영주        T     664    Y        18승5패   78%
정민기        T     660    Y       61승40패   60%
햇참새        P     660    Y     179승151패   54%
하이현        T     657    Y     384승497패   44%
얌쭈         Z     654    Y     131승143패   48%
삐약삐약       Z     654    Y      31승133패   19%
햄찌야        Z     650    Y     164승233패   41%
쟈닌         Z     644    Y     316승388패   45%
백원이야       Z     638    Y     271승254패   52%
김성제        P     628    Y         3승1패   75%
병하         Z     624    Y         8승4패   67%
전제민        P     620    Y         3승1패   75%
두폴조합       P     616    Y         7승4패   64%
박한별        P     615    Y         2승0패   100%
신상문        T     615    Y       53승57패   48%
이아라        P     613    Y         3승1패   75%
이영한        Z     612    Y       47승51패   48%
박준혁        P     612    Y         1승0패   100%
김민우        P     611    Y         6승4패   60%
박성준        Z     609    Y       16승17패   48%
권아온        Z     608    Y      82승118패   41%
정다닝        T     607    Y     148승106패   58%
와이퍼        P     601    Y       10승11패   48%
헤요이        P     600    Y     237승248패   49%
사랑e        P     599    Y         0승2패   0%
고요         Z     599    Y       67승50패   57%
염보성        T     599    Y         2승2패   50%
박퍼니        T     596    Y         0승1패   0%
단비송        T     594    Y     146승172패   46%
정윤종        P     592    Y       19승32패   37%
저그맨박성준     Z     592    Y         0승1패   0%
윤준석        P     591    Y         1승2패   33%
홍덕         P     591    Y       38승42패   48%
은아가        Z     591    Y       16승17패   48%
이지다        Z     588    Y     195승223패   47%
마예준        P     586    Y         4승7패   36%
박태민        Z     585    Y         3승4패   43%
윤진규        Z     585    Y         1승2패   33%
뽀현욱        P     585    Y         0승2패   0%
어윤수        Z     585    Y     184승230패   44%
최재성        T     582    Y         6승7패   46%
전상욱        T     582    Y         5승7패   42%
구성훈        T     580    Y         6승7패   46%
제쥬순        P     579    Y       16승22패   42%
민찬기        T     578    Y       42승34패   55%
배병우        Z     578    Y        9승16패   36%
박성진        T     578    Y         6승6패   50%
안정우        P     578    Y         1승4패   20%
유즈         Z     577    Y       70승60패   54%
박준오        Z     575    Y       22승25패   47%
임진묵        T     575    Y     140승154패   48%
김병수        Z     575    Y         3승5패   38%
박수범        P     573    Y     196승344패   36%
권혁진        P     572    Y         2승5패   29%
김건욱        Z     572    Y       12승18패   40%
김영진        T     572    Y       35승36패   49%
김유나        T     571    Y       40승30패   57%
봄덕이        P     570    Y       18승20패   47%
엄키키        P     570    Y     219승235패   48%
고석현        Z     569    Y         0승4패   0%
모비         P     564    Y     125승150패   45%
요시         P     564    Y     243승269패   47%
루다         Z     563    Y     239승315패   43%
빵지니        T     562    Y     193승263패   42%
하솜         P     562    Y       64승82패   44%
강민         P     561    Y         1승4패   20%
지우리        T     561    Y     190승224패   46%
은조         Z     555    Y     166승204패   45%
손찬웅        P     551    Y        8승15패   35%
선우도현       Z     551    Y       14승20패   41%
최호선        T     550    Y       67승81패   45%
박쭈이        Z     545    Y       54승61패   47%
배성흠        Z     541    Y         0승7패   0%
김말랑        T     538    Y     468승467패   50%
삼교         Z     538    Y     123승182패   40%
윤하랑        P     537    Y       15승24패   38%
오세은        T     533    Y       70승75패   48%
윤용태        P     532    Y       18승31패   37%
아망뚜        Z     530    Y       23승66패   26%
묘묘묫        Z     527    Y       66승66패   50%
한쪼니        P     526    Y     195승321패   38%
히요코        P     524    Y     163승269패   38%
단솔         P     522    Y      95승112패   46%
진땅콩        P     522    Y     183승276패   40%
아링         P     515    Y     122승127패   49%
찡찡시아       P     513    Y       54승88패   38%
하윤         P     513    Y       32승45패   42%
먹체토        P     511    Y       19승51패   27%
정연이        P     509    Y      99승131패   43%
연또         P     504    Y       49승76패   39%
지아송        P     503    Y      72승101패   42%
혜냥         P     502    Y       34승63패   35%
우질         P     496    Y       57승81패   41%
김수식        Z     495    Y       20승71패   22%
으니         P     490    Y       47승82패   36%
방태수        Z     488    Y     391승579패   40%
낭니         Z     488    Y       10승24패   29%
이예훈        Z     484    Y      54승106패   34%
우마루대장      Z     484    Y     109승227패   32%
김세주        T     453    Y     222승282패   44%
햄희         Z     452    Y       54승87패   38%
구키         P     447    Y     131승229패   36%
김기덕        Z     446    Y       19승64패   23%
이응씨        T     426    Y       63승96패   40%
